dt,open
2010-01-04,4.13
2010-01-05,4.26
2010-01-06,4.48
2010-01-07,4.58
2010-01-08,4.54
2010-01-11,4.58
2010-01-12,4.66
2010-01-13,4.64
2010-01-14,4.75
2010-01-15,4.76
2010-01-19,4.72
2010-01-20,4.73
2010-01-21,4.76
2010-01-22,4.67
2010-01-25,4.7
2010-01-26,4.65
2010-01-27,4.65
2010-01-28,4.63
2010-01-29,4.61
2010-02-01,4.62
2010-02-02,4.55
2010-02-03,4.83
2010-02-04,4.76
2010-02-05,4.66
2010-02-08,4.62
2010-02-09,4.75
2010-02-10,4.8
2010-02-11,4.78
2010-02-12,4.7
2010-02-16,4.81
2010-02-17,4.89
2010-02-18,4.92
2010-02-19,4.91
2010-02-22,4.93
2010-02-23,4.87
2010-02-24,4.85
2010-02-25,4.78
2010-02-26,4.75
2010-03-01,4.72
2010-03-02,4.81
2010-03-03,6.07
2010-03-04,6.06
2010-03-05,6.03
2010-03-08,5.87
2010-03-09,5.94
2010-03-10,5.87
2010-03-11,5.82
2010-03-12,5.81
2010-03-15,5.73
2010-03-16,5.78
2010-03-17,5.77
2010-03-18,5.78
2010-03-19,5.745
2010-03-22,5.9099
2010-03-23,5.93
2010-03-24,5.91
2010-03-25,5.89
2010-03-26,5.91
2010-03-29,5.86
2010-03-30,5.76
2010-03-31,5.85
2010-04-01,6.02
2010-04-05,6.05
2010-04-06,6.05
2010-04-07,5.9
2010-04-08,5.875
2010-04-09,5.85
2010-04-12,5.885
2010-04-13,5.81
2010-04-14,5.81
2010-04-15,5.88
2010-04-16,5.76
2010-04-19,5.76
2010-04-20,5.75
2010-04-21,5.79
2010-04-22,5.76
2010-04-23,5.8
2010-04-26,5.77
2010-04-27,5.81
2010-04-28,5.76
2010-04-29,5.75
2010-04-30,5.76
2010-05-03,5.67
2010-05-04,5.72
2010-05-05,5.64
2010-05-06,5.62
2010-05-07,5.35
2010-05-10,5.45
2010-05-11,5.39
2010-05-12,5.72
2010-05-13,5.76
2010-05-14,5.83
2010-05-17,5.83
2010-05-18,5.91
2010-05-19,5.8
2010-05-20,6.03
2010-05-21,5.84
2010-05-24,5.97
2010-05-25,5.78
2010-05-26,5.93
2010-05-27,5.84
2010-05-28,5.9
2010-06-01,5.81
2010-06-02,5.78
2010-06-03,5.85
2010-06-04,5.9
2010-06-07,5.92
2010-06-08,5.97
2010-06-09,6.0
2010-06-10,6.02
2010-06-11,6.01
2010-06-14,6.25
2010-06-15,6.18
2010-06-16,6.22
2010-06-17,6.18
2010-06-18,6.15
2010-06-21,6.13
2010-06-22,6.04
2010-06-23,6.02
2010-06-24,6.06
2010-06-25,5.96
2010-06-28,5.95
2010-06-29,5.88
2010-06-30,5.79
2010-07-01,5.69
2010-07-02,5.86
2010-07-06,5.96
2010-07-07,5.83
2010-07-08,5.9
2010-07-09,5.95
2010-07-12,6.02
2010-07-13,6.18
2010-07-14,6.15
2010-07-15,6.12
2010-07-16,6.16
2010-07-19,6.1
2010-07-20,6.1
2010-07-21,6.16
2010-07-22,6.06
2010-07-23,6.11
2010-07-26,6.15
2010-07-27,6.18
2010-07-28,6.19
2010-07-29,6.14
2010-07-30,5.98
2010-08-02,6.09
2010-08-03,6.08
2010-08-04,6.09
2010-08-05,6.07
2010-08-06,6.03
2010-08-09,6.09
2010-08-10,5.87
2010-08-11,5.75
2010-08-12,5.58
2010-08-13,5.56
2010-08-16,5.65
2010-08-17,5.86
2010-08-18,5.92
2010-08-19,5.86
2010-08-20,5.77
2010-08-23,5.84
2010-08-24,5.77
2010-08-25,5.68
2010-08-26,5.71
2010-08-27,5.66
2010-08-30,5.69
2010-08-31,5.69
2010-09-01,5.67
2010-09-02,5.78
2010-09-03,5.86
2010-09-07,5.8
2010-09-08,5.73
2010-09-09,5.75
2010-09-10,5.7
2010-09-13,5.54
2010-09-14,5.58
2010-09-15,5.87
2010-09-16,5.88
2010-09-17,6.08
2010-09-20,6.15
2010-09-21,6.28
2010-09-22,6.3
2010-09-23,5.94
2010-09-24,6.14
2010-09-27,6.15
2010-09-28,6.05
2010-09-29,6.07
2010-09-30,6.06
2010-10-01,5.99
2010-10-04,5.96
2010-10-05,5.9
2010-10-06,5.87
2010-10-07,5.91
2010-10-08,5.94
2010-10-11,5.96
2010-10-12,5.95
2010-10-13,6.04
2010-10-14,6.05
2010-10-15,6.17
2010-10-18,6.07
2010-10-19,5.97
2010-10-20,5.97
2010-10-21,6.01
2010-10-22,6.08
2010-10-25,6.08
2010-10-26,6.01
2010-10-27,6.0
2010-10-28,6.01
2010-10-29,5.92
2010-11-01,5.95
2010-11-02,5.89
2010-11-03,5.77
2010-11-04,5.75
2010-11-05,5.81
2010-11-08,5.75
2010-11-09,5.74
2010-11-10,5.72
2010-11-11,5.6
2010-11-12,5.66
2010-11-15,5.8
2010-11-16,5.77
2010-11-17,5.71
2010-11-18,5.7
2010-11-19,5.64
2010-11-22,5.96
2010-11-23,5.95
2010-11-24,5.94
2010-11-26,5.93
2010-11-29,5.94
2010-11-30,5.945
2010-12-01,5.97
2010-12-02,5.95
2010-12-03,5.96
2010-12-06,5.94
2010-12-07,5.94
2010-12-08,5.95
2010-12-09,5.96
2010-12-10,5.96
2010-12-13,5.97
2010-12-14,5.99
2010-12-15,6.01
2010-12-16,6.01
2010-12-17,6.0
2010-12-20,6.01
2010-12-21,6.01
2010-12-22,6.01
2010-12-23,6.005
2010-12-27,5.98
2010-12-28,5.99
2010-12-29,5.99
2010-12-30,5.93
2010-12-31,5.95
2011-01-03,5.94
2011-01-04,5.94
2011-01-05,5.93
2011-01-06,5.91
2011-01-07,5.94
2011-01-10,5.93
2011-01-11,5.93
2011-01-12,5.93
2011-01-13,5.93
2011-01-14,5.95
2011-01-18,5.98
2011-01-19,5.97
2011-01-20,5.96
2011-01-21,5.96
2011-01-24,5.95
2011-01-25,5.94
2011-01-26,5.95
2011-01-27,5.98
2011-01-28,6.005
2011-01-31,6.0
2011-02-01,6.01
2011-02-02,6.02
2011-02-03,6.01
2011-02-04,5.97
2011-02-07,5.96
2011-02-08,5.94
2011-02-09,5.95
2011-02-10,5.94
2011-02-11,5.94
2011-02-14,5.95
2011-02-15,5.95
2011-02-16,5.94
2011-02-17,5.94
2011-02-18,5.95
2011-02-22,5.95
2011-02-23,5.94
2011-02-24,5.93
2011-02-25,5.93
2011-02-28,5.91
2011-03-01,5.88
2011-03-02,5.7901
2011-03-03,5.82
2011-03-04,5.8
2011-03-07,5.82
2011-03-08,5.805
2011-03-09,5.79
2011-03-10,5.78
2011-03-11,5.84
2011-03-14,5.805
2011-03-15,5.79
2011-03-16,5.8
2011-03-17,5.8
2011-03-18,5.8
2011-03-21,5.8
2011-03-22,5.8
2011-03-23,5.78
2011-03-24,5.84
